,City,State,share_white,share_black,poverty_rate,income,protest_rate
903,Denton,TX,73.8,10.3,20.6,49100.0,0.02826036272175553
904,Edinburg,TX,85.3,1.6,27.7,43346.0,0.0009884353069091628
905,ElPaso,TX,80.8,3.4,20.9,42772.0,0.0010444048066090878
906,FlowerMound,TX,83.9,3.2,2.7,122999.0,0.0011697912247605811
907,FortWorth,TX,61.1,18.9,18.8,53214.0,0.0002198804949509941
908,Fredericksburg,TX,90.5,0.5,14.1,48991.0,0.00043493389004871266
909,Friendswood,TX,86.6,3.4,5.7,91458.0,0.007446016381236039
910,Frisco,TX,75.0,8.1,3.6,114098.0,0.0009975559878298169
911,Galveston,TX,62.5,19.2,24.6,39098.0,0.001982317725885105
912,George,TX,86.2,3.7,8.0,63041.0,0.003768654841465253
913,Granbury,TX,93.7,0.7,9.3,45606.0,0.013979496738117428
914,Greenville,TX,68.5,16.8,23.1,36639.0,0.0069379401255767175
915,Hondo,TX,81.0,7.9,26.8,37341.0,0.0052988554472234
916,Houston,TX,50.5,23.7,22.5,46187.0,0.004647451644953658
917,Howe,TX,89.3,1.6,19.7,44079.0,0.00029886431560071725
918,Huntsville,TX,62.7,25.4,36.6,30799.0,0.0011836840983878224
919,Jacksonville,TX,52.8,22.4,36.9,29453.0,0.01349983125210935
920,Katy,TX,80.1,5.3,8.4,70526.0,0.1380643379814994
921,League,TX,79.5,7.1,5.6,93675.0,0.004649605713435501
922,Lewisville,TX,65.3,11.2,10.7,57267.0,0.002746950884518185
923,Lockhart,TX,73.0,9.4,13.1,48884.0,0.0070756385763815184
924,Lufkin,TX,56.7,27.4,23.7,39890.0,0.002855429599383227
925,Marshall,TX,48.0,38.3,22.2,35702.0,0.0008760019272042399
926,Midland,TX,75.5,7.9,9.3,69173.0,0.0007361097796463933
927,Midlothian,TX,88.5,3.6,5.3,74881.0,0.008946677800310152
928,MontBelvieu,TX,87.5,2.9,5.5,105125.0,0.004563431700638881
929,Odessa,TX,75.4,5.7,12.1,59337.0,0.0009567515851265668
930,Palestine,TX,62.1,23.3,23.8,36348.0,0.0028200789622109413
931,Paris,TX,67.4,23.4,25.6,32025.0,0.0040246307401295926
932,Quinlan,TX,94.1,0.6,27.2,35707.0,0.00984251968503937
933,Richardson,TX,67.1,8.6,10.6,72427.0,0.006181845157142504
934,Royse,TX,81.0,8.3,7.3,75625.0,0.020405387022173854
935,SanAngelo,TX,80.4,4.6,16.1,44802.0,0.0029701793988356896
936,SanAntonio,TX,72.6,6.9,19.8,46744.0,0.0006647726186806092
937,SanMarcos,TX,78.5,5.5,37.0,28923.0,0.0003705075954057058
938,Southlake,TX,88.3,2.1,2.9,183125.0,0.006177415369409439
939,Stephenville,TX,87.2,2.2,29.3,37825.0,0.009413093613215984
940,Texarkana,TX,55.4,37.1,22.8,39113.0,0.002753531404025663
941,Tyler,TX,60.5,24.8,20.9,42840.0,0.0018694209468617094
942,Victoria,TX,76.2,7.7,18.0,48658.0,0.00033624245322493875
943,Vidor,TX,95.7,0.1,18.5,40134.0,0.019225223493223108
944,Waxahachie,TX,75.6,12.9,15.9,54081.0,0.0015794461408865958
945,WichitaFalls,TX,73.2,12.7,19.8,44543.0,0.00386882301806406
946,Wimberley,TX,93.5,0.5,19.8,59167.0,0.003403465346534653
947,Boulder,UT,97.3,0.0,22.3,40625.0,0.4149377593360996
948,Logan,UT,83.9,1.0,26.5,36032.0,0.0019401653020837376
949,Ogden,UT,75.2,2.2,22.9,41036.0,0.005810442846889134
950,Orem,UT,84.5,0.7,16.9,55166.0,0.0003066606697469028
951,Park,UT,81.0,0.6,15.9,105102.0,0.03518648838845883
952,Provo,UT,84.8,0.7,28.8,41291.0,0.004587627981958188
953,SaltLake,UT,75.1,2.7,20.3,47243.0,0.003565392113358629
954,St.George,UT,87.2,0.7,16.0,49614.0,0.0012055320526415665
955,Bedford,VA,76.4,20.2,26.3,35049.0,0.015158405335758678
956,Blacksburg,VA,81.2,4.3,45.3,31936.0,0.0011303777722514866
957,Charlottesville,VA,69.1,19.4,25.8,49775.0,0.015515028420711154
958,Culpeper,VA,61.5,21.9,13.6,57551.0,0.0423885974672813
959,Dumfries,VA,39.5,35.1,15.8,60956.0,0.012664640324214792
960,Exmore,VA,57.9,37.7,37.4,18580.0,0.10932944606413994
961,Farmville,VA,72.3,23.8,34.1,33297.0,0.010196278358399185
962,Floyd,VA,94.1,3.5,19.4,47778.0,0.05504587155963303
963,Fredericksburg,VA,64.2,22.6,16.5,51762.0,0.007749001239840198
964,FrontRoyal,VA,85.1,8.9,13.9,47981.0,0.013090718680455558
965,Hampton,VA,42.7,49.6,15.3,49190.0,0.0008326518474462865
966,Leesburg,VA,71.1,9.5,5.8,103238.0,0.02791892344631191
967,Lynchburg,VA,64.4,29.3,24.8,39589.0,0.0012170187907701295
968,Montross,VA,79.7,19.5,23.2,41591.0,0.2564102564102564
969,NewportNews,VA,49.0,40.7,15.7,50077.0,0.001115915748360999
970,Norfolk,VA,47.1,43.1,21.0,44480.0,0.0019345642698832507
971,Norton,VA,88.7,6.3,24.0,27731.0,0.006028636021100226
972,Portsmouth,VA,41.6,53.3,18.2,45676.0,0.0009675346229086774
973,Richmond,VA,40.8,50.6,25.5,40758.0,0.0019590193000597624
974,Roanoke,VA,64.2,28.5,21.2,39930.0,0.0009077796717872164
975,RoundHill,VA,93.3,2.8,0.9,114167.0,0.6859756097560976
976,Suffolk,VA,52.3,42.7,11.5,65499.0,2.1713640508967733e-05
977,VirginiaBeach,VA,67.7,19.6,8.3,66634.0,0.0004444701249405521
978,Waynesboro,VA,82.2,10.6,18.3,45643.0,0.008837825894829872
979,Williamsburg,VA,74.0,14.0,22.4,48639.0,0.01003076100040123
980,Winchester,VA,74.5,10.9,16.0,45363.0,0.01780753614929838
981,Bethel,VT,96.1,1.1,17.9,49750.0,0.12813941568426448
982,Burlington,VT,88.9,3.9,24.8,44671.0,0.037366589598075615
983,Chester,VT,97.6,0.0,15.5,29022.0,0.0496031746031746
